above:-0.077717,-0.065075,-0.030195,-0.021061,-0.028827,0.014611,0.013649,0.102124,0.049588,-0.005525,0.004109,-0.014535,0.028025,0.003644,0.057555,0.028863
achievement:-0.029512,0.143714,0.002088,-0.010369,-0.044974,0.022017,0.099584,0.031554,-0.035666,0.004104,0.046881,-0.031262,0.084304,-0.001381,-0.035623,0.047857
action:-0.041159,0.008662,-0.017181,0.003741,-0.028200,0.063975,0.158444,-0.016044,0.020740,0.049822,0.056433,-0.010060,-0.040484,0.033748,0.007042,0.016186
adapted:0.015157,-0.027885,-0.024736,0.015375,0.057802,0.005249,0.019670,-0.011614,-0.033607,-0.020193,0.009493,-0.048809,0.025781,-0.014054,-0.031084,-0.004213
additional:-0.024472,-0.039732,-0.048177,0.006354,0.021621,-0.014851,0.064107,0.093990,0.000236,-0.026959,0.013362,-0.078654,-0.063914,0.018314,0.016842,-0.004170
additive:-0.079080,-0.054791,0.006452,0.063849,-0.003063,-0.002583,0.135214,-0.015660,0.014989,-0.010885,0.069287,-0.106590,-0.016741,-0.025111,-0.013747,-0.043255
advanced:0.006547,-0.012928,-0.027461,0.044702,-0.060676,-0.062570,0.041370,0.081711,-0.096793,0.079496,0.025407,-0.016723,-0.008448,-0.000037,-0.030364,0.027247
aeolipile:-0.061742,0.047994,-0.033092,-0.017013,0.048097,-0.098907,0.029832,-0.009316,-0.056214,-0.089431,0.074122,-0.127933,-0.018414,-0.033715,-0.039969,-0.032838
aerospace:-0.005765,-0.007011,-0.032849,0.030433,-0.083028,-0.011960,0.078730,-0.006309,-0.057605,0.059189,-0.026603,0.006860,-0.011401,0.010120,-0.074396,-0.002006
afterburners:-0.064084,0.025250,-0.074060,0.073034,0.022245,-0.036740,0.057956,0.007938,0.030012,-0.081798,0.073555,0.012713,-0.069168,0.005803,-0.025651,0.027654
ago:-0.050082,-0.010862,-0.041602,0.053229,0.054449,0.029779,0.089491,0.079320,-0.046257,-0.034031,0.024457,0.063624,0.013288,0.096505,-0.012450,0.028246
air:-0.032276,-0.001255,-0.021389,0.096856,0.031923,-0.077822,0.163450,-0.051117,-0.005422,-0.011791,0.056974,0.001232,-0.047624,-0.035065,-0.016137,0.052540
airbus:-0.014002,0.063660,-0.057647,0.007436,-0.053535,-0.005644,0.014942,0.027342,0.043874,-0.015875,0.008337,-0.060921,0.002845,-0.002090,-0.063085,-0.020158
aircraft:0.013685,0.061133,-0.084731,0.060625,-0.039681,-0.000494,0.096226,0.021603,-0.009505,0.073939,0.043449,0.042545,-0.028403,0.017371,-0.036730,0.051432
airflow:-0.045771,-0.004599,0.016183,0.029559,0.042589,-0.101654,0.082989,-0.028098,0.000854,-0.066075,0.028533,0.042004,-0.036238,-0.038710,-0.026384,0.052876
airliners:0.013338,-0.002803,-0.043733,0.073136,-0.024840,-0.016217,0.081183,-0.014734,0.018821,0.021280,0.046053,0.066687,-0.043515,0.053823,-0.015671,-0.019295
alexandria:-0.010462,0.077291,-0.044355,-0.000899,-0.134636,-0.016079,0.066475,-0.044545,0.023253,0.017885,-0.013332,-0.106579,0.000416,-0.046310,-0.058847,-0.026908
all:-0.079548,-0.048391,-0.016113,-0.060323,0.072990,0.012197,0.015523,0.025048,0.011118,0.018683,0.020505,-0.077020,-0.018099,-0.003795,-0.093251,0.066321
allowing:0.016814,0.095076,-0.003175,-0.006864,0.030974,0.009745,0.057685,-0.089797,-0.064547,0.021835,0.009219,0.071275,-0.002948,0.054523,0.018664,0.030293
also:-0.120259,0.014052,-0.007198,0.038485,0.045057,-0.001393,0.033082,0.023928,-0.041192,-0.047277,0.022872,0.049140,0.000288,0.061420,0.006533,-0.051957
altitude:-0.014155,0.062065,-0.002306,0.027513,-0.068019,-0.021886,0.044853,0.056525,-0.009605,-0.021580,0.038471,-0.033309,0.040596,-0.013201,0.011484,0.085265
altitudes:-0.038163,0.041392,0.015594,0.044256,-0.058895,-0.029361,0.007136,0.031355,-0.017629,-0.030494,0.032742,-0.090520,0.020292,-0.009605,0.021241,0.064208
ancient:-0.096481,0.102386,-0.037865,0.040729,-0.080164,-0.073249,0.043869,-0.043284,-0.011049,0.019202,0.004132,-0.018527,-0.007678,-0.032682,-0.067023,-0.043996
and:-0.065812,0.048193,0.030481,0.024876,0.007960,-0.010989,0.084759,0.040410,-0.016874,-0.033569,0.001822,0.054537,0.053650,0.053299,0.048857,-0.007685
applications:-0.048402,-0.013124,-0.039783,-0.095866,-0.007917,-0.019945,0.080247,0.114736,-0.018546,-0.008980,-0.012802,0.020840,0.012122,0.006063,0.024946,0.018922
are:-0.007909,0.044889,0.008580,0.033900,-0.058339,0.016323,0.062847,-0.039255,0.050137,0.047331,-0.018946,-0.112179,-0.056990,0.007539,0.061761,-0.027065
article:0.013187,0.112155,0.007560,0.135874,-0.007394,0.013926,-0.014620,0.069166,-0.047890,0.056738,0.049669,0.091236,-0.049314,0.031291,-0.023695,0.002963
atmosphere:-0.031824,0.037792,0.020299,0.057684,0.061323,-0.045291,0.131216,-0.031620,0.041521,-0.010858,0.006809,-0.024288,-0.002119,-0.044383,0.019189,0.028284
atr:-0.132191,-0.019452,-0.042285,0.007871,0.071108,-0.024782,0.023855,0.022974,-0.003547,-0.038845,0.007022,-0.027793,-0.020359,0.008311,-0.016720,0.035268
audience:0.038421,-0.027984,-0.066556,-0.038063,-0.016408,0.023662,0.097723,0.028655,0.053241,-0.011739,-0.000732,-0.039597,0.023444,-0.037053,-0.017370,-0.089041
aviation:0.029613,0.006996,-0.029697,0.032694,-0.017708,0.003904,0.126676,0.014437,-0.044461,0.054492,0.011912,0.046287,-0.057102,0.036105,-0.047898,0.027674
axial:0.061789,-0.017656,-0.026139,-0.032828,-0.121509,-0.077968,-0.001786,0.061479,0.043523,0.005297,0.100001,0.046716,0.008265,0.007268,-0.048654,-0.043243
